,error_rate,num_shots,logical_errors,time
0,0.003,5000,74,2.014876715373248
1,0.004,1000,55,0.3859158039558679
2,0.005,1000,115,0.38539844029583037
3,0.006,500,139,0.19296437921002507
4,0.007,500,216,0.19217971013858914
